ds,INVERTER1.1_Active Power_Kw,INVERTER1.1_AC Current (A)_Phase 1,INVERTER1.1_AC Current (A)_Phase 2,INVERTER1.1_AC Current (A)_Phase 3,INVERTER1.1_AC Voltage (V)_BR,INVERTER1.1_AC Voltage (V)_RY,INVERTER1.1_AC Voltage (V)_YB,INVERTER1.1_Todays Gen_Kwh,INVERTER1.1_DC Current,INVERTER1.1_DC Voltage,INVERTER1.1_DC Power_Kw,INVERTER1.1_Reactive power_Kvar,INVERTER1.1_Inverter_Temp.,INVERTER1.1_Power Factor
11/18/2024 6:00:00 PM,65.67434467,71.07437807,70.44638014,74.12992877,597.5013159,593.9046865,591.7721267,6230.580076,11369.14116,650.9116568,67.50859505,-19649.1398,50.34707796,-18.7252554
11/18/2024 6:01:00 PM,63.4724189,68.86198952,68.23565657,71.91950446,597.5719221,593.9779281,591.8199614,6227.814005,11535.27724,648.5312727,65.27640584,-19559.36967,50.33383221,-18.63776013
11/18/2024 6:02:00 PM,61.2947187,66.6747905,66.05010244,69.73425814,597.642339,594.0509949,591.8677103,6225.028497,11701.62162,646.1388098,63.06885172,-19469.45049,50.32093691,-18.55011874
11/18/2024 6:03:00 PM,59.14134424,64.5128763,63.88981286,67.57428505,597.7125591,594.1238788,591.9153682,6222.224069,11868.15736,643.7344478,60.88603219,-19379.39095,50.30838839,-18.46233965
11/18/2024 6:04:00 PM,57.01239181,62.37633816,61.75487893,65.43967639,597.7825749,594.1965722,591.9629302,6219.401234,12034.86756,641.3183688,58.72804286,-19289.19975,50.2961829,-18.37443129
11/18/2024 6:05:00 PM,54.90795389,60.26526332,59.64538773,63.33051935,597.8523791,594.2690671,592.0103914,6216.560499,12201.7353,638.8907568,56.59497544,-19198.88562,50.28431662,-18.28640211
11/18/2024 6:06:00 PM,52.82811904,58.17973497,57.56142231,61.24689708,597.9219645,594.3413559,592.057747,6213.702369,12368.74368,636.4517982,54.48691771,-19108.45727,50.27278569,-18.19826056
11/18/2024 6:07:00 PM,50.77297191,56.1198322,55.50306161,59.18888863,597.991324,594.4134309,592.1049922,6210.827344,12535.87579,634.0016811,52.40395347,-19017.92346,50.26158617,-18.11001512
11/18/2024 6:08:00 PM,48.74259327,54.08563008,53.47038055,57.15656904,598.0604503,594.4852846,592.1521222,6207.935917,12703.11476,631.5405961,50.34616262,-18927.29292,50.25071404,-18.02167427
11/18/2024 6:09:00 PM,46.73705992,52.07719951,51.4634499,55.15000916,598.1293367,594.5569097,592.1991325,6205.028581,12870.44372,629.0687355,48.31362102,-18836.57443,50.24016526,-17.9332465
11/18/2024 6:10:00 PM,44.75644469,50.0946073,49.48233633,53.16927576,598.197976,594.6282986,592.2460185,6202.10582,13037.84582,626.5862938,46.30640051,-18745.77674,50.22993569,-17.84474029
11/18/2024 6:11:00 PM,42.80081646,48.1379161,47.52710238,51.21443148,598.2663617,594.699444,592.2927758,6199.168116,13205.30423,624.0934675,44.32456897,-18654.90863,50.22002115,-17.75616417
11/18/2024 6:12:00 PM,40.8702401,46.20718444,45.59780642,49.28553479,598.3344868,594.7703389,592.3393998,6196.215944,13372.80215,621.590455,42.36819018,-18563.97886,50.2104174,-17.66752662
11/18/2024 6:13:00 PM,38.96477646,44.30246666,43.69450269,47.38264003,598.4023447,594.8409761,592.3858862,6193.249776,13540.32282,619.0774568,40.4373239,-18472.99623,50.20112014,-17.57883617
11/18/2024 6:14:00 PM,37.08448239,42.42381291,41.81724122,45.50579731,598.469929,594.9113485,592.4322308,6190.270078,13707.84948,616.5546751,38.53202581,-18381.96949,50.19212502,-17.49010132
11/18/2024 6:15:00 PM,35.22941068,40.57126917,39.96606787,43.65505257,598.537233,594.9814492,592.4784293,6187.27731,13875.36544,614.0223142,36.6523475,-18290.90743,50.18342761,-17.40133059
11/18/2024 6:16:00 PM,33.39961008,38.7448772,38.14102429,41.83044756,598.6042506,595.0512713,592.5244776,6184.271927,14042.85401,611.4805804,34.79833647,-18199.81882,50.17502346,-17.31253249
11/18/2024 6:17:00 PM,31.59512526,36.94467454,36.34214792,40.0320198,598.6709752,595.1208081,592.5703715,6181.254379,14210.29856,608.9296815,32.97003612,-18108.71244,50.16690804,-17.22371552
11/18/2024 6:18:00 PM,29.81599683,35.17069452,34.56947196,38.25980259,598.7374008,595.1900528,592.616107,6178.225109,14377.68252,606.3698276,31.16748571,-18017.59704,50.15907678,-17.13488819
11/18/2024 6:19:00 PM,28.06226132,33.42296622,32.82302543,36.513825,598.8035213,595.2589989,592.6616803,6175.184557,14544.98932,603.8012301,29.39072039,-17926.48139,50.15152506,-17.04605901
11/18/2024 6:20:00 PM,26.33395114,31.70151448,31.10283306,34.79411186,598.8693305,595.3276398,592.7070873,6172.133153,14712.20248,601.2241027,27.63977117,-17835.37423,50.14424821,-16.95723646
