ds,PR,n_system,Capacity_Factor,Specific_Yield_kWh_kWp,Energy_Yield_per_Area_kWh_m2,Degradation_Rate_%_per_minute,Insulation_Resistance_MOhm
2/7/2025 18:00,0.397609262,0.059641389,0.019290887,0.000249761,5.00E-05,1.149291946,
2/7/2025 19:00,14.16355689,2.124533534,0,-0.000544707,-0.000108941,0.675150444,
2/7/2025 20:00,12.54739449,1.882109173,0,-0.000325898,-6.52E-05,-3.072396383,
2/7/2025 21:00,0.284769703,0.042715455,0.004863935,7.00E-05,1.40E-05,-7.629361069,
2/7/2025 22:00,0.19752731,0.029629096,0.003202599,2.59E-05,5.17E-06,3.907432802,
2/7/2025 23:00,12.26266915,1.839400373,0,-0.000447881,-8.96E-05,2.575210604,
3/7/2025 0:00,51.40267633,7.710401449,0,-0.000304832,-6.10E-05,0.29870958,
3/7/2025 1:00,19.02027958,2.853041938,0,-0.000350183,-7.00E-05,-0.800448601,
3/7/2025 2:00,0,0,0,-0.000125777,-2.52E-05,-3.703581579,
3/7/2025 3:00,0,0,0,-7.17E-05,-1.43E-05,3.704853014,
3/7/2025 4:00,7.714356505,1.157153475,0,-0.000393273,-7.87E-05,2.152400809,
3/7/2025 5:00,5.567226285,0.835083943,0,-0.000685431,-0.000137086,0.053061378,
3/7/2025 6:00,4.764992844,0.714748927,0.006238673,-0.00013218,-2.64E-05,-6.891870962,
3/7/2025 7:00,0.971486917,0.145723038,0.111556919,0.001859282,0.000371856,2.89125343,
3/7/2025 8:00,1.257684116,0.188652617,0.308469618,0.00514116,0.001028232,1.2495783,
3/7/2025 9:00,1.358353009,0.203752951,0.531910239,0.008865171,0.001773034,0.692877219,
3/7/2025 10:00,1.400502934,0.21007544,0.720704569,0.012011743,0.002402349,0.367217863,
3/7/2025 11:00,1.414281524,0.212142229,0.835675549,0.013927926,0.002785585,0.148502244,
3/7/2025 12:00,1.413254205,0.211988131,0.867545709,0.014459095,0.002891819,-0.014279016,
3/7/2025 13:00,1.406291579,0.210943737,0.822040558,0.013700676,0.002740135,-0.166101265,
3/7/2025 14:00,1.397252369,0.209587855,0.705017372,0.01175029,0.002350058,-0.357595478,
3/7/2025 15:00,1.381204398,0.20718066,0.525596892,0.008759948,0.00175199,-0.651687974,
3/7/2025 16:00,1.333292611,0.199993892,0.31111645,0.005185274,0.001037055,-1.189701403,
3/7/2025 17:00,1.107723907,0.166158586,0.111010545,0.001850176,0.000370035,-3.080770972,
3/7/2025 18:00,2.831766304,0.424764946,0.00322454,-0.000397253,-7.95E-05,-2.418281267,
3/7/2025 19:00,2.338775536,0.35081633,0,-0.001218628,-0.000243726,0.300301224,
3/7/2025 20:00,2.24526308,0.336789462,0,-0.001024836,-0.000204967,-0.713455601,
3/7/2025 21:00,2.513076432,0.376961465,0,-0.00065184,-0.000130368,-0.521927513,
3/7/2025 22:00,2.393947846,0.359092177,0,-0.000716444,-0.000143289,0.756595269,
3/7/2025 23:00,2.135640823,0.320346124,0,-0.001208127,-0.000241625,0.808229971,
4/7/2025 0:00,2.061186587,0.309177988,0,-0.001080277,-0.000216055,-0.219431253,
4/7/2025 1:00,2.155441425,0.323316214,0,-0.001137959,-0.000227592,-0.209129624,
4/7/2025 2:00,2.22855599,0.334283399,0,-0.000922917,-0.000184583,-0.371108139,
4/7/2025 3:00,2.050358711,0.307553807,0,-0.000875151,-0.00017503,0.275188479,
4/7/2025 4:00,1.892236785,0.283835518,0,-0.001200029,-0.000240006,0.609313492,
4/7/2025 5:00,2.056216795,0.308432519,0,-0.001492425,-0.000298485,0.02023905,
4/7/2025 6:00,3.588974818,0.538346223,0,-0.000936415,-0.000187283,-3.16606349,
4/7/2025 7:00,0.703971236,0.105595685,0.064256231,0.001060718,0.000212144,1.777060865,
4/7/2025 8:00,1.236156152,0.185423423,0.261063602,0.00435106,0.000870212,1.510775816,
4/7/2025 9:00,1.35765033,0.20364755,0.485170469,0.008086175,0.001617235,0.765445515,
4/7/2025 10:00,1.403858798,0.21057882,0.674778444,0.011246307,0.002249261,0.394991293,
4/7/2025 11:00,1.418699556,0.212804933,0.79069769,0.013178295,0.002635659,0.159199931,
4/7/2025 12:00,1.418119068,0.21271786,0.823636381,0.013727273,0.002745455,-0.012757839,
4/7/2025 13:00,1.411765014,0.211764752,0.779304267,0.012988404,0.002597681,-0.172647284,
4/7/2025 14:00,1.40399586,0.210599379,0.66354167,0.011059028,0.002211806,-0.376903995,
4/7/2025 15:00,1.390285912,0.208542887,0.485451397,0.008090857,0.001618171,-0.702197116,
4/7/2025 16:00,1.343832817,0.201574923,0.272352086,0.004539201,0.00090784,-1.364005357,
4/7/2025 17:00,0.959483678,0.143922552,0.073808856,0.00122765,0.00024553,-2.757903455,
4/7/2025 18:00,3.458055113,0.518708267,0,-0.000996027,-0.000199205,5.306956319,
4/7/2025 19:00,1.79089108,0.268633662,0,-0.001793773,-0.000358755,0.174056317,
4/7/2025 20:00,1.701889433,0.255283415,0,-0.001576794,-0.000315359,-0.481620802,
4/7/2025 21:00,1.644416891,0.246662534,0,-0.001181368,-0.000236273,-0.323351052,
4/7/2025 22:00,1.633510253,0.245026538,0,-0.001224602,-0.00024492,0.414730592,
4/7/2025 23:00,1.684470616,0.252670592,0,-0.001696261,-0.000339252,0.546495758,
5/7/2025 0:00,1.622035862,0.243305379,0,-0.001550002,-0.00031,-0.212014833,
5/7/2025 1:00,1.669669801,0.25045047,0,-0.001591134,-0.000318227,-0.164871473,
5/7/2025 2:00,1.633607389,0.245041108,0,-0.001361624,-0.000272325,-0.268012535,
5/7/2025 3:00,1.545213724,0.231782059,0,-0.001301661,-0.000260332,0.172186986,
5/7/2025 4:00,1.54434698,0.231652047,0,-0.001616777,-0.000323355,0.439037484,
5/7/2025 5:00,1.672528696,0.250879304,0,-0.001901974,-0.000380395,0.010129472,
5/7/2025 6:00,2.745290701,0.411793605,0,-0.001341424,-0.000268285,-1.81950159,
5/7/2025 7:00,1.483659258,0.222548889,0.044573424,0.000657531,0.000131506,8.542617212,
5/7/2025 8:00,1.271581666,0.19073725,0.236817162,0.003946953,0.000789391,1.691034169,
5/7/2025 9:00,1.387130099,0.208069515,0.460704967,0.007678416,0.001535683,0.807072355,
5/7/2025 10:00,1.428046087,0.214206913,0.649932919,0.010832215,0.002166443,0.409236773,
5/7/2025 11:00,1.440228422,0.216034263,0.765316159,0.012755269,0.002551054,0.163195914,
5/7/2025 12:00,1.438791704,0.215818756,0.797569882,0.013292831,0.002658566,-0.014767168,
5/7/2025 13:00,1.433287682,0.214993152,0.752412804,0.012540213,0.002508043,-0.18084855,
5/7/2025 14:00,1.428897669,0.21433465,0.635696038,0.010594934,0.002118987,-0.396319745,
5/7/2025 15:00,1.423679521,0.213551928,0.456534867,0.007608914,0.001521783,-0.752325853,
5/7/2025 16:00,1.398655398,0.20979831,0.242261927,0.004037699,0.00080754,-1.563163973,
5/7/2025 17:00,2.053733325,0.308059999,0.047469003,0.000705131,0.000141026,3.061953531,
5/7/2025 18:00,1.681389571,0.252208436,0,-0.001540746,-0.000308149,2.111456291,
5/7/2025 19:00,1.545409407,0.231811411,0,-0.002361583,-0.000472317,0.147433163,
5/7/2025 20:00,1.478517092,0.221777564,0,-0.002168287,-0.000433657,-0.329405837,
5/7/2025 21:00,1.412682417,0.211902363,0,-0.001796825,-0.000359365,-0.192481372,
5/7/2025 22:00,1.415464321,0.212319648,0,-0.001863993,-0.000372799,0.294579492,
5/7/2025 23:00,1.486377028,0.222956554,0,-0.002359243,-0.000471849,0.406498633,
6/7/2025 0:00,1.444712053,0.216706808,0,-0.002235923,-0.000447185,-0.154833023,
6/7/2025 1:00,1.477072594,0.221560889,0,-0.002299046,-0.000459809,-0.097546139,
6/7/2025 2:00,1.444361479,0.216654222,0,-0.002090289,-0.000418058,-0.158818519,
6/7/2025 3:00,1.398344339,0.209751651,0,-0.002049573,-0.000409915,0.124771797,
6/7/2025 4:00,1.41967187,0.212950781,0,-0.002382177,-0.000476435,0.307792231,
